,date,hospitalized
199,9/3/20,3
200,9/4/20,2
201,9/5/20,4
202,9/6/20,3
203,9/7/20,3
204,9/8/20,2
205,9/9/20,4
206,9/10/20,1
207,9/11/20,1
208,9/12/20,2
209,9/13/20,4
210,9/14/20,0
211,9/15/20,1
212,9/16/20,1
213,9/17/20,3
214,9/18/20,2
215,9/19/20,2
216,9/20/20,0
217,9/21/20,0
218,9/22/20,1
219,9/23/20,1
220,9/24/20,1
221,9/25/20,2
222,9/26/20,1
223,9/27/20,0
224,9/28/20,2
225,9/29/20,1
226,9/30/20,0
227,10/1/20,1
228,10/2/20,1
229,10/3/20,1
230,10/4/20,1
231,10/5/20,1
232,10/6/20,0
233,10/7/20,0
234,10/8/20,2
235,10/9/20,0
236,10/10/20,2
237,10/11/20,0
238,10/12/20,0
239,10/13/20,0
240,10/14/20,2
241,10/15/20,3
242,10/16/20,1
243,10/17/20,1
244,10/18/20,2
245,10/19/20,2
246,10/20/20,0
247,10/21/20,2
248,10/22/20,3
249,10/23/20,1
250,10/24/20,0
251,10/25/20,0
252,10/26/20,1
253,10/27/20,2
254,10/28/20,4
255,10/29/20,2
256,10/30/20,1
257,10/31/20,3
258,11/1/20,1
259,11/2/20,1
260,11/3/20,0
261,11/4/20,2
262,11/5/20,2
263,11/6/20,4
264,11/7/20,0
265,11/8/20,1
266,11/9/20,0
267,11/10/20,2
268,11/11/20,0
269,11/12/20,1
270,11/13/20,2
271,11/14/20,1
272,11/15/20,2
273,11/16/20,4
274,11/17/20,3
275,11/18/20,3
276,11/19/20,3
277,11/20/20,6
278,11/21/20,2
279,11/22/20,3
280,11/23/20,3
281,11/24/20,3
282,11/25/20,2
283,11/26/20,3
284,11/27/20,7
285,11/28/20,4
286,11/29/20,2
287,11/30/20,1
288,12/1/20,3
289,12/2/20,5
290,12/3/20,2
291,12/4/20,3
292,12/5/20,1
293,12/6/20,2
294,12/7/20,2
295,12/8/20,3
296,12/9/20,3
297,12/10/20,3
298,12/11/20,4
299,12/12/20,3
300,12/13/20,4
301,12/14/20,4
302,12/15/20,2
303,12/16/20,8
304,12/17/20,4
305,12/18/20,6
306,12/19/20,7
307,12/20/20,8
308,12/21/20,3
309,12/22/20,4
310,12/23/20,3
311,12/24/20,2
312,12/25/20,4
313,12/26/20,3
314,12/27/20,3
315,12/28/20,7
316,12/29/20,6
317,12/30/20,7
318,12/31/20,6
319,1/1/21,11
320,1/2/21,8
321,1/3/21,4
322,1/4/21,2
323,1/5/21,6
324,1/6/21,8
325,1/7/21,6
326,1/8/21,14
327,1/9/21,10
328,1/10/21,10
329,1/11/21,8
330,1/12/21,10
331,1/13/21,8
332,1/14/21,13
333,1/15/21,11
334,1/16/21,15
335,1/17/21,7
336,1/18/21,9
337,1/19/21,8
338,1/20/21,8
339,1/21/21,10
340,1/22/21,9
341,1/23/21,10
342,1/24/21,16
343,1/25/21,9
344,1/26/21,8
345,1/27/21,11
346,1/28/21,10
347,1/29/21,10
348,1/30/21,7
349,1/31/21,5
350,2/1/21,9
351,2/2/21,5
352,2/3/21,10
353,2/4/21,8
354,2/5/21,3
355,2/6/21,6
356,2/7/21,6
357,2/8/21,7
358,2/9/21,3
359,2/10/21,11
360,2/11/21,10
361,2/12/21,3
362,2/13/21,6
363,2/14/21,4
364,2/15/21,1
365,2/16/21,2
366,2/17/21,4
367,2/18/21,5
368,2/19/21,5
369,2/20/21,9
370,2/21/21,4
371,2/22/21,7
372,2/23/21,7
373,2/24/21,1
374,2/25/21,4
375,2/26/21,5
376,2/27/21,6
377,2/28/21,4
378,3/1/21,6
379,3/2/21,2
380,3/3/21,3
381,3/4/21,4
